tahun;provinsi;kabupaten;kecamatan;kelurahan
2020;PROVINSI JAWA TIMUR;SIDOARJO;GEDANGAN;KEBOANANOM
2020;PROVINSI JAWA TIMUR;SIDOARJO;GEDANGAN;BANGAH
2020;PROVINSI JAWA TIMUR;SIDOARJO;GEDANGAN;SAWOTRATAP
2020;PROVINSI JAWA TIMUR;SIDOARJO;GEDANGAN;SEMAMBUNG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;TAMAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;GELURAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;KALIJATEN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;KETEGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;SEPANJANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;BEBEKAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;WONOCOLO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;NGELOM
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;BOHAR
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;WAGE
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;KEDUNGTURI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;JEMUNDO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;SADANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;SAMBIBULU
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;BRINGINBENDO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;SIDODADI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;KRAMATJEGU
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;TROSOBO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;PERTAPANMADURETNO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;TAWANGSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;GILANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;KLETEK
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;TANJUNGSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TAMAN;KREMBANGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;KEMASAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;TAMBAK KEMERAKAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;KRIAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;TROPODO
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;SEDENGANMIJEN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;KATERUNGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;JERUKGAMPING
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;GAMPING
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;TERIK
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;JUNWANGI
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;TERUNGKULON
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;TERUNGWETAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;JATIKALANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;KEBOHARAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;PONOKAWAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;SIDOMOJO
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;KRATON
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;SIDOMULYO
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;TEMPEL
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;WATUGOLONG
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;BARENGKRAJAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KRIAN;SIDOREJO
2020;PROVINSI JAWA TIMUR;SIDOARJO;BALONGBENDO;WONOKUPANG
